k/k0,P/P0,Cv/Nk,T/T_F,E/E0,mu/E_F,F/E0,S/Nk,betamu
2.655974,0.3799432,0.05427816,0.09488539,0.3799432,0.3763742,0.3739948,0.03761418,3.966619097
2.82205,0.3804297,0.3992345,0.09797762,0.3804297,0.3767131,0.3742353,0.03793322,3.844889272
2.817791,0.3809592,0.3959116,0.0987767,0.3809592,0.3768932,0.3741826,0.04116323,3.815608337
2.777407,0.3830004,0.3370846,0.1021362,0.3830004,0.37755,0.3739164,0.05336412,3.696534627
3.055355,0.3849742,0.8269796,0.1046217,0.3849742,0.3783624,0.3739545,0.06319731,3.616481093
3.20392,0.3935272,1.109531,0.1100593,0.3935272,0.3813697,0.3732648,0.1104624,3.465129253
3.110018,0.4037825,1.066055,0.1157177,0.4037825,0.3846796,0.3719443,0.1650821,3.324293518
3.107027,0.410594,1.114203,0.1194705,0.410594,0.386717,0.370799,0.1998569,3.236924596
3.235432,0.4187543,1.331971,0.1235124,0.4187543,0.3891144,0.3693545,0.2399752,3.15040757
3.016544,0.4278557,1.129333,0.1279744,0.4278557,0.3916079,0.3674426,0.2832429,3.060048728
3.166148,0.4353099,1.361705,0.131602,0.4353099,0.3935238,0.3656663,0.3175192,2.990256987
3.266878,0.4398288,1.502536,0.1335006,0.4398288,0.3947132,0.3646362,0.3379433,2.956639895
3.394129,0.450612,1.700922,0.1375598,0.450612,0.3975727,0.3622131,0.3855731,2.890180852
3.241969,0.4594874,1.609254,0.140779,0.4594874,0.3998219,0.3600449,0.4238237,2.840067766
3.555874,0.4697674,1.960265,0.1442733,0.4697674,0.4024172,0.357517,0.4668241,2.789270087
3.579055,0.4796486,2.039996,0.1472395,0.4796486,0.404926,0.3551109,0.5074906,2.750118005
3.61814,0.4892128,2.12835,0.1499948,0.4892128,0.4073017,0.3526944,0.5460926,2.715438802
3.360452,0.5001071,1.98327,0.1531774,0.5001071,0.409858,0.349692,0.5891801,2.675708035
3.06283,0.5109017,1.765868,0.1566421,0.5109017,0.4120762,0.3461926,0.6308996,2.630686131
2.823226,0.5201507,1.555794,0.1599949,0.5201507,0.4136161,0.342593,0.6658626,2.585183028
2.677284,0.5297356,1.430156,0.1638522,0.5297356,0.4148187,0.3382075,0.701345,2.531663902
2.512887,0.5399446,1.264718,0.168412,0.5399446,0.4156335,0.3327595,0.7381365,2.467956559
2.357168,0.5499917,1.08681,0.1735636,0.5499917,0.4157788,0.3263036,0.7732779,2.395541461
2.405636,0.5577286,1.199395,0.1776371,0.5577286,0.4156756,0.3209736,0.7996807,2.340026943
2.278553,0.5709907,1.073206,0.1846558,0.5709907,0.4152221,0.3113763,0.8435621,2.248627446
2.302403,0.5874808,1.187566,0.1934445,0.5874808,0.414177,0.2986411,0.8958837,2.141063716
2.294967,0.6028321,1.246851,0.2010216,0.6028321,0.4133486,0.2870262,0.9426028,2.056239727
2.265479,0.6170297,1.267726,0.2077996,0.6170297,0.4124931,0.2761354,0.9842973,1.985052426
2.083059,0.6317756,1.056166,0.2154666,0.6317756,0.4107279,0.2633627,1.025902,1.906225373
2.075688,0.6474515,1.108658,0.2241676,0.6474515,0.4078797,0.2481652,1.068717,1.819530119
2.018913,0.6627901,1.080114,0.2325783,0.6627901,0.4048502,0.2328902,1.109046,1.740704958
1.897781,0.6778422,0.937071,0.2415679,0.6778422,0.4007515,0.2160243,1.147051,1.658960069
1.929316,0.6850344,1.016583,0.2459949,0.6850344,0.398515,0.2075021,1.164737,1.62001326
1.945347,0.7051714,1.11388,0.2573765,0.7051714,0.3930419,0.1849555,1.212735,1.52710873
1.926584,0.7253743,1.154461,0.2680745,0.7253743,0.3878946,0.1629081,1.258903,1.446965676
1.791339,0.7453122,1.005056,0.2791943,0.7453122,0.3816559,0.1392184,1.30252,1.3669903
1.793386,0.7649699,1.070434,0.2905814,0.7649699,0.3744481,0.1141003,1.343932,1.28861689
1.780363,0.7849889,1.110583,0.3016059,0.7849889,0.36741,0.08902409,1.384518,1.218179087
1.725955,0.8051631,1.083219,0.3126427,0.8051631,0.3599751,0.06318306,1.423951,1.151394547
1.742947,0.8250346,1.166034,0.3232673,0.8250346,0.3526005,0.03764449,1.461435,1.090739769
1.676124,0.8449832,1.116232,0.3337592,0.8449832,0.3450542,0.01176819,1.497873,1.033841764
1.658361,0.854688,1.113702,0.3389819,0.854688,0.3410674,-0.00134636,1.515186,1.006152246
1.593073,0.8948912,1.111127,0.3606794,0.8948912,0.3234838,-0.05745453,1.584253,0.896873511
1.532411,0.9357107,1.109647,0.3827488,0.9357107,0.304084,-0.1170005,1.650238,0.794474078
1.482373,0.9751356,1.115818,0.4040193,0.9751356,0.2840849,-0.1766156,1.71044,0.703146855
1.404553,1.015043,1.067246,0.4259638,1.015043,0.2618601,-0.2402615,1.768184,0.61474731
1.35298,1.080387,1.107818,0.4620948,1.080387,0.2224197,-0.3495586,1.856691,0.481329156
1.309865,1.130439,1.125754,0.4890074,1.130439,0.191589,-0.4343107,1.919909,0.391791617
1.269324,1.180287,1.142216,0.5154014,1.180287,0.1600424,-0.520121,1.979515,0.310519917
1.240181,1.229748,1.173865,0.5410512,1.229748,0.1283149,-0.6059738,2.035728,0.237158517
1.189019,1.27961,1.160912,0.5666855,1.27961,0.09536555,-0.694131,2.089774,0.168286554
1.145991,1.329824,1.157145,0.5926878,1.329824,0.06041939,-0.7858506,2.141777,0.101941342
1.132529,1.380574,1.206817,0.6184803,1.380574,0.02482397,-0.8790095,2.192067,0.040137042
1.117272,1.430672,1.249584,0.6429759,1.430672,-0.009420278,-0.9694818,2.23973,-0.014651059
1.072524,1.513946,1.27807,0.682552,1.513946,-0.06627191,-1.11975,2.315161,-0.097094302
0.996975,1.594988,1.230972,0.7213255,1.594988,-0.1249816,-1.271628,2.384458,-0.173266577
0.9504501,1.675633,1.2295,0.7606745,1.675633,-0.187863,-1.430194,2.449794,-0.246968973
0.9127805,1.753841,1.236213,0.7987542,1.753841,-0.2510357,-1.58762,2.510004,-0.314284044
0.8745379,1.834832,1.23745,0.8380597,1.834832,-0.318485,-1.75403,2.569408,-0.380026626
0.8694415,1.915188,1.310005,0.8759789,1.915188,-0.3848287,-1.918173,2.625653,-0.439312751
0.8544344,1.99377,1.355188,0.9113914,1.99377,-0.4473115,-2.074699,2.678411,-0.490800659
0.8222721,2.074577,1.359543,0.9471209,2.074577,-0.511627,-2.235763,2.730595,-0.540191859
0.8047992,2.155025,1.393513,0.9822075,2.155025,-0.5761344,-2.396907,2.780634,-0.586570964
0.7915331,2.235518,1.434716,1.016383,2.235518,-0.6397892,-2.556661,2.828962,-0.629476487
0.7539204,2.314505,1.412006,1.049682,2.314505,-0.7031632,-2.714942,2.87484,-0.669882117
0.71321,2.452582,1.42188,1.108185,2.452582,-0.8183869,-2.999033,2.951644,-0.738493031
0.6646163,2.653561,1.445312,1.192407,2.653561,-0.9910492,-3.420789,3.056516,-0.831133329
0.6235183,2.853254,1.470305,1.274686,2.853254,-1.166691,-3.846654,3.153674,-0.915277174
0.5695921,3.053849,1.434385,1.357592,3.053849,-1.351728,-4.288779,3.24514,-0.995680587
0.5512436,3.25492,1.50094,1.439937,3.25492,-1.542061,-4.740049,3.331382,-1.070922547
0.5057445,3.454525,1.456901,1.520943,3.454525,-1.735364,-5.19529,3.412284,-1.140978985
0.484699,3.653424,1.489004,1.602032,3.653424,-1.93562,-5.66165,3.488721,-1.20822805
0.4730067,3.854035,1.552288,1.681292,3.854035,-2.134778,-6.127319,3.56203,-1.269724712